patient_id	role	barcode_key	cells
COL07	primary	COL07_CRC	17000
COL07	distant_metastasis	COL07_LM	16100
COL12	primary	COL12_CRC	10750
COL12	distant_metastasis	COL12_LM	3160
COL12	PBMC	COL12_PBMC	12400
COL15	primary	COL15_CRC	4250
COL15	distant_metastasis	COL15_LM	9700
COL16	primary	COL16_CRC	6000
COL16	distant_metastasis	COL16_LM	8200
COL17	primary	COL17_CRC	9035
COL17	distant_metastasis	COL17_LM	10000
COL17	PBMC	COL17_PBMC	6700
COL18	primary	COL18_CRC	8700
COL18	distant_metastasis	COL18_LM	10436
COL18	PBMC	COL18_PBMC	7850
