sample	input_barcodes	retained_barcodes	matrix_rows	nnz	status	retention_fraction	arm
GSM8901920_nor_01	1727695	447	62700	1321203	PASS	0.0002587262219315	Normal
GSM8901921_nor_02	1388021	9289	62700	11627407	PASS	0.0066922618605914	Normal
GSM8901922_nor_03	1729597	9853	62700	15495465	PASS	0.0056967027579256	Normal
GSM8901923_Nor_04	1843754	1507	62700	7540231	PASS	0.0008173541589604	Normal
GSM8901924_Nor6	669329	4658	62700	3013394	PASS	0.0069592084012496	Normal
GSM8901925_Nor7	1826647	11107	62700	17380515	PASS	0.0060805399182217	Normal
GSM8901926_Nor8	1931573	12140	62700	17539803	PASS	0.0062850329757146	Normal
GSM8901927_nor_09	1887814	10502	62700	17425783	PASS	0.0055630480545223	Normal
GSM8901928_nor_10	1447313	3346	62700	5410191	PASS	0.0023118703417989	Normal
GSM8901929_nor_11	1407376	9530	62700	12834590	PASS	0.0067714669001034	Normal
GSM8901930_nor_15	1694676	8882	62700	13624783	PASS	0.0052411198364761	Normal
GSM8901931_nor_16	1421976	8796	62700	11242481	PASS	0.0061857584094246	Normal
GSM8901932_nor_17	1251177	6461	62700	7338267	PASS	0.0051639376363216	Normal
GSM8901933_nor_18	1444583	12125	62700	14829952	PASS	0.0083934256460168	Normal
GSM8901934_nor_19	1531699	12222	62700	17286412	PASS	0.0079793745376865	Normal
GSM8901935_nor_20	2051964	10768	62700	17301782	PASS	0.0052476554169566	Normal
GSM8901936_nor_21	1620011	6226	62700	11311477	PASS	0.0038431837808508	Normal
GSM8901937_nor_23	1015682	11518	62700	13097295	PASS	0.0113401635551284	Normal
GSM8901938_tum_01	1737283	10192	62700	17216967	PASS	0.0058666319764828	Primary
GSM8901939_tum_02	1625414	6802	62700	11929040	PASS	0.0041847800006644	Primary
GSM8901940_tum_03	1785493	9428	62700	17846992	PASS	0.0052803343390312	Primary
GSM8901941_Tum_04	1505627	8565	62700	19516581	PASS	0.0056886599403437	Primary
GSM8901942_Tum6	1723706	6348	62700	11457294	PASS	0.0036827626056879	Primary
GSM8901943_Tum7	1586183	7144	62700	15565128	PASS	0.0045038939390978	Primary
GSM8901944_Tum8	1716339	7986	62700	15141277	PASS	0.0046529269567375	Primary
GSM8901945_tum_09	1807777	10844	62700	17907649	PASS	0.0059985274732447	Primary
GSM8901946_tum_10	1631126	1436	62700	7979680	PASS	0.0008803734352833	Primary
GSM8901947_tum_11	1791774	10816	62700	18225135	PASS	0.0060364755823	Primary
GSM8901948_tum_15	1685877	9798	62700	15424078	PASS	0.0058118118937502	Primary
GSM8901949_tum_16	1473487	5419	62700	9634227	PASS	0.0036776707225784	Primary
GSM8901950_tum_17	1295096	9169	62700	11947772	PASS	0.0070797840468969	Primary
GSM8901951_tum_18	1925470	6233	62700	9817500	PASS	0.0032371317132959	Primary
GSM8901952_tum_19	1536779	13010	62700	19735466	PASS	0.0084657585768675	Primary
GSM8901953_tum_20	1880240	12640	62700	19686863	PASS	0.00672254605795	Primary
GSM8901954_tum_21	1197217	6271	62700	12150259	PASS	0.005237981084465	Primary
GSM8901955_tum_23	1258750	9385	62700	19567072	PASS	0.0074558093346573	Primary
