cohort	unit	module	delta	low_count
GSE315534	1.0	Absorptive	-0.1595201287185396	False
GSE315534	1.0	Secretory	-0.2183979862093689	False
GSE315534	2.0	Absorptive	-0.0891319330896272	False
GSE315534	2.0	Secretory	-0.1772341722517926	False
GSE315534	3.0	Absorptive	-0.0914336933033374	False
GSE315534	3.0	Secretory	-0.1880953641082698	False
GSE178318	COL07	Absorptive	-0.0607319874089373	False
GSE178318	COL07	Secretory	0.069999946623094	False
GSE178318	COL12	Absorptive	0.0002089148469885	False
GSE178318	COL12	Secretory	0.0503929456755495	False
GSE178318	COL15	Absorptive	-0.0640596773806574	False
GSE178318	COL15	Secretory	-0.1483038015493554	False
GSE178318	COL16	Absorptive	0.0191030360417004	False
GSE178318	COL16	Secretory	0.0046028244649616	False
GSE178318	COL17	Absorptive	0.0289344809044987	True
GSE178318	COL17	Secretory	-0.096219974463091	True
GSE178318	COL18	Absorptive	0.0160308308103883	False
GSE178318	COL18	Secretory	0.0159975373478776	False
Moorman 2024	HTA8_6016	Absorptive	0.0709539902855448	False
Moorman 2024	HTA8_6016	Secretory	-0.0222082661225159	False
Moorman 2024	HTA8_6017	Absorptive	0.0548701612583741	False
Moorman 2024	HTA8_6017	Secretory	-0.1362857019133809	False
Moorman 2024	HTA8_6018	Absorptive	0.0100783606856674	False
Moorman 2024	HTA8_6018	Secretory	0.0193516655881778	False
Moorman 2024	HTA8_6019	Absorptive	-0.0643481790454076	False
Moorman 2024	HTA8_6019	Secretory	-0.0928036476171962	False
Moorman 2024	HTA8_6023	Absorptive	0.0595682877662838	False
Moorman 2024	HTA8_6023	Secretory	0.0374899854867303	False
Moorman 2024	HTA8_6028	Absorptive	-0.0425957244162114	False
Moorman 2024	HTA8_6028	Secretory	0.0161576371072986	False
